x,y,z
-337,268,1308
-340,271,1311
-342,273,1306
-342,276,1311
-337,276,1313
-333,273,1306
-340,273,1308
-337,266,1311
-335,278,1311
-331,268,1306
-337,280,1303
-335,276,1316
-337,266,1317
-337,273,1306
-340,273,1308
-337,268,1303
-333,266,1311
-333,271,1301
-342,263,1306
-335,268,1306
-337,280,1301
-335,278,1306
-340,276,1308
-335,276,1313
-340,271,1303
-335,280,1311
-340,271,1313
-337,276,1311
-328,268,1313
-337,263,1303
-333,278,1311
-328,278,1313
-337,276,1308
-331,271,1313
-333,285,1320
-328,287,1322
-340,278,1322
-337,282,1320
-335,285,1316
-340,280,1320
-337,282,1327
-337,285,1325
-340,282,1320
-335,276,1320
-335,280,1320
-345,280,1325
-340,285,1330
-337,271,1332
-345,268,1322
-340,276,1325
-340,273,1322
-337,273,1327
-345,268,1330
-335,268,1322
-345,268,1325
-340,268,1335
-337,266,1325
-345,268,1322
-347,276,1332
-342,263,1327
-337,263,1320
-342,266,1325
-342,266,1327
-342,271,1325
-347,261,1325
-347,261,1325
-351,253,1330
-342,258,1330
-342,258,1327
-337,247,1320
-345,223,1320
-350,187,1298
-358,166,1298
-350,166,1288
-340,163,1296
-323,195,1322
-300,211,1311
-277,221,1320
-261,266,1345
-245,285,1342
-213,280,1355
-202,330,1377
-188,423,1421
-148,397,1411
-121,366,1398
-140,347,1411
-135,345,1408
-51,406,1403
-3,432,1381
11,385,1375
-3,332,1367
-22,285,1350
-3,261,1332
41,235,1296
111,240,1252
200,242,1202
246,203,1133
293,182,1070
351,145,977
423,101,840
510,90,656
595,108,455
636,126,197
636,153,-75
582,180,-332
501,206,-541
398,218,-697
288,228,-847
146,242,-972
-6,242,-1070
-172,245,-1146
-316,253,-1181
-396,250,-1202
-433,258,-1212
-391,256,-1212
-202,252,-1158
38,253,-1043
296,256,-845
491,253,-605
646,253,-286
690,226,65
652,211,416
510,185,725
312,142,965
132,116,1120
-27,132,1235
-160,161,1308
-433,213,1401
-802,235,1398
-1047,211,1311
-1252,161,1195
-1425,103,1008
-1537,21,813
-1616,-13,651
-1670,-6,558
-1721,3,457
-1756,11,340
-1780,25,256
-1771,8,192
-1758,-25,75
-1740,-21,-90
-1731,21,-271
-1668,45,-480
-1532,90,-742
-1370,132,-918
-1273,126,-1000
-1243,123,-1018
-1297,101,-965
-1453,61,-793
-1616,25,-536
-1723,23,-242
-1768,13,-28
-1758,16,251
-1680,40,607
-1465,68,972
-1231,100,1168
-1072,168,1303
-921,190,1365
-821,177,1381
-706,177,1393
-630,230,1426
-573,381,1477
-517,626,1521
-468,955,1511
-426,1291,1386
-445,1550,1215
-455,1738,1003
-456,1886,768
-438,1975,528
-396,2020,283
-366,2033,58
-277,2001,-176
-195,1927,-398
-165,1812,-633
-151,1678,-830
-157,1543,-982
-167,1381,-1122
-167,1221,-1217
-178,1086,-1271
-195,1047,-1296
-186,1152,-1261
-135,1320,-1163
-132,1515,-1016
-167,1728,-791
-226,1898,-501
-288,2006,-171
-326,2038,207
-300,1960,610
-258,1788,952
-200,1522,1230
-192,1193,1433
-245,847,1528
-388,471,1526
-541,152,1426
-597,-103,1240
-648,-306,1016
-695,-457,758
-767,-540,508
-851,-563,273
-837,-595,38
-783,-571,-192
-673,-523,-426
-545,-413,-661
-431,-297,-825
-428,-202,-942
-517,-182,-967
-755,-253,-877
-1166,-300,-631
-1545,-242,-146
-1680,-87,365
-1691,142,740
-1723,437,877
-1790,778,808
-1787,1133,658
-1668,1446,477
-1502,1678,276
